playerName,freeThrowsMade,points,plusMinusPoints,fieldGoalsMade,PER,turnovers,USG%,gamesPlayed,reboundsDefensive,minutes,assists,Actual_AllStar,Predicted_AllStar,Prediction_Confidence
Caris LeVert,134,869,-66,307,14.473718209803454,114,18.62661956705392,71,215,2111.5,268,0,0,0.32
Draymond Green,10,122,7,48,18.27108527131783,5,17.924759657502197,71,32,258.0,6,0,0,0.0
Frank Kaminsky,42,410,-203,160,9.09094048929146,53,17.154931768114785,79,82,1181.3,72,0,0,0.0
Goran Dragic,95,875,31,324,20.31957714448156,93,28.024354079753326,46,203,1407.1,188,0,0,2.76
P.J. Tucker,120,964,-83,382,22.193386301369863,103,26.20009610253752,77,339,1642.5,123,0,0,0.04
Paul George,22,159,-113,60,10.389750437828368,28,12.963690586035575,54,96,685.2,70,0,0,0.0
Jawun Evans,52,366,-156,136,19.687560240963847,52,17.64312034387844,68,133,796.8,51,0,0,0.0
Klay Thompson,0,3,-3,1,5.911280602636535,3,10.712325875166291,14,4,53.1,8,0,0,0.0
Nik Stauskas,3,39,22,14,10.908632969557727,2,8.946236993926298,42,23,174.1,8,0,0,0.0
Ryan Hollins,2,20,5,7,33.72866071428572,2,25.91864696847469,12,3,22.4,1,0,0,0.0
Frank Jackson,9,189,-84,70,7.996005765954659,11,10.421170714325942,81,28,763.1,19,0,0,0.0
Lamar Odom,2,12,-34,4,4.085579470198674,3,15.01393144668972,38,8,60.4,5,0,0,0.0
Greg Smith,3,52,31,20,11.895056553559549,4,13.82133001522603,17,23,150.3,10,0,0,0.0
Gary Neal,242,1518,-135,599,17.09222222222223,102,25.48143432024584,82,301,2803.5,116,0,0,7.96
Zavier Simpson,20,267,16,105,19.691349762604563,25,25.602762388333662,19,30,442.3,57,0,0,0.0
Travis Outlaw,52,342,9,140,16.70362642057592,55,12.91882213992386,81,207,1170.3,118,0,0,0.0
Tyreke Evans,174,1008,23,359,13.338975476333962,134,22.812833478445864,82,112,2157.1,214,0,0,0.49
Antonio Daniels,39,436,97,165,15.052577543424324,46,22.17657301456582,35,107,967.2,84,0,0,0.94
Malcolm Delaney,35,511,100,195,12.12205162839562,77,17.529285421320754,64,263,1332.6,92,0,0,0.0
Jaylen Nowell,7,49,-18,19,6.944336609336612,7,19.217722624133447,25,18,162.8,8,0,0,0.0
Bruce Brown,109,729,39,310,15.734719303699103,88,21.72131352450886,80,227,1608.5,53,0,0,0.0
Lonzo Ball,82,447,50,166,18.60083241089219,30,20.25981601149393,28,143,903.4,70,0,0,0.0
