season_year,teamTricode,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,plusMinusPoints,gamesPlayed
2023,PHI,242.4,40.8,83.8,48.7,12.6,32.6,38.7,21.0,25.1,83.5,8.7,32.2,40.9,25.2,7.7,4.7,12.8,20.4,115.2,21.6,82
2023,PHX,241.2,42.1,90.1,46.7,12.2,32.6,37.4,17.2,21.7,79.3,11.8,32.4,44.2,27.3,7.1,5.3,12.9,21.2,113.6,10.4,82
2023,POR,240.6,40.5,85.4,47.4,12.9,35.3,36.5,19.6,24.6,79.6,9.4,31.1,40.5,24.2,6.7,4.6,13.7,20.0,113.4,-20.1,82
2023,SAC,241.8,43.6,88.2,49.4,13.8,37.3,36.9,19.8,25.1,79.0,9.5,32.9,42.5,27.3,7.0,3.4,13.1,19.7,120.7,13.2,82
2023,SAS,242.1,43.1,92.6,46.5,11.1,32.2,34.5,15.8,21.2,74.3,11.8,31.9,43.7,27.2,7.0,3.9,14.7,19.9,113.0,-50.2,82
2023,TOR,241.5,41.9,91.3,45.9,10.7,32.0,33.5,18.4,23.4,78.4,12.7,30.3,43.0,23.9,9.4,5.2,11.2,20.0,112.9,7.4,82
2023,UTA,241.5,42.5,89.8,47.3,13.3,37.8,35.3,18.7,23.8,78.6,11.8,34.1,45.9,26.0,6.1,5.2,14.9,20.5,117.1,-4.7,82
2023,WAS,240.9,42.1,86.9,48.5,11.3,31.7,35.6,17.6,22.4,78.5,9.4,34.2,43.6,25.4,6.8,5.2,13.3,18.8,113.2,-6.0,82
2024,ATL,242.1,43.0,92.5,46.5,13.7,37.7,36.4,18.5,23.2,79.7,12.5,32.2,44.7,26.6,7.5,4.5,12.8,18.6,118.3,-10.9,82
2024,BKN,241.5,40.7,89.1,45.6,13.3,36.7,36.2,15.8,20.9,75.6,11.4,32.6,44.1,25.6,6.8,5.2,12.3,18.5,110.4,-14.5,82
2024,BOS,241.8,43.9,90.2,48.7,16.5,42.5,38.8,16.3,20.2,80.7,10.7,35.6,46.3,26.9,6.8,6.6,11.3,16.2,120.6,56.7,82
2024,CHA,240.6,40.0,87.0,46.0,12.1,34.0,35.5,14.5,18.4,78.6,9.3,31.0,40.3,24.8,6.9,4.5,13.0,18.0,106.6,-51.2,82
2024,CHI,243.7,42.0,89.5,47.0,11.5,32.1,35.8,16.7,21.1,79.1,11.2,32.6,43.8,25.0,7.8,4.8,11.7,18.8,112.3,-7.2,82
2024,CLE,241.5,41.8,87.2,47.9,13.5,36.8,36.7,15.6,20.4,76.5,9.9,33.4,43.3,28.0,7.4,4.6,12.7,17.5,112.6,12.1,82
2024,DAL,240.3,43.1,89.7,48.1,14.6,39.5,36.9,17.0,22.5,75.8,9.7,33.2,42.9,25.7,6.9,5.0,12.1,18.3,117.9,11.0,82
2024,DEN,240.3,44.0,88.8,49.6,11.7,31.2,37.4,15.1,19.9,76.2,10.7,33.7,44.4,29.5,7.1,5.6,11.8,18.2,114.9,26.3,82
2024,DET,240.9,40.9,88.2,46.3,11.0,31.7,34.8,17.0,21.7,78.5,10.5,32.8,43.3,25.5,6.5,4.7,14.6,20.6,109.9,-45.5,82
2024,GSW,241.8,43.7,91.6,47.7,14.8,38.9,38.0,15.6,20.0,78.0,12.1,34.6,46.7,29.3,7.0,4.6,13.7,19.5,117.8,13.0,82
2024,HOU,242.1,41.8,91.0,45.9,12.7,36.1,35.2,18.1,23.4,77.3,11.5,34.0,45.5,24.8,7.8,4.6,12.2,20.8,114.3,5.6,82
2024,IND,240.3,47.0,92.7,50.7,13.2,35.3,37.4,16.1,20.5,78.2,10.1,31.4,41.5,30.8,7.7,5.9,12.3,21.4,123.3,15.2,82
2024,LAC,240.3,42.4,86.7,48.9,12.6,33.2,38.1,18.3,22.2,82.5,10.0,32.9,43.0,25.6,7.8,5.0,12.2,18.5,115.6,16.4,82
2024,LAL,242.1,43.7,87.5,49.9,11.8,31.4,37.7,18.9,24.2,78.2,8.2,34.9,43.1,28.5,7.4,5.5,13.4,15.6,118.0,3.0,82
2024,MEM,241.2,38.4,88.2,43.5,13.1,37.8,34.6,16.0,21.0,76.4,10.9,31.7,42.6,24.7,8.2,6.1,14.2,19.1,105.8,-35.0,82
2024,MIA,240.9,39.8,85.6,46.5,12.5,33.7,37.0,18.0,22.0,81.8,9.3,33.0,42.3,25.8,7.5,3.4,11.8,17.3,110.1,8.8,82
2024,MIL,241.5,43.1,88.5,48.7,14.2,38.1,37.3,18.5,23.9,77.4,9.4,34.8,44.2,26.5,6.8,5.0,12.4,19.2,119.0,13.1,82
2024,MIN,241.5,41.3,85.0,48.5,12.6,32.7,38.7,17.8,22.9,77.7,9.4,34.2,43.6,26.6,7.9,6.1,13.4,18.8,113.0,32.3,82
2024,NOP,240.3,42.5,87.4,48.6,12.5,32.6,38.3,17.6,22.8,77.1,10.4,33.6,44.0,27.0,8.3,4.6,12.4,18.4,115.1,22.1,82
2024,NYK,240.6,41.3,88.7,46.5,13.2,35.8,36.9,17.0,21.8,78.0,12.7,32.5,45.2,24.4,7.5,4.1,12.2,17.6,112.8,22.9,82
2024,OKC,241.5,44.5,89.3,49.9,13.3,34.2,38.9,17.7,21.5,82.5,8.8,33.2,42.0,27.1,8.5,6.6,11.8,18.8,120.1,37.1,82
2024,ORL,241.2,40.5,84.9,47.6,11.0,31.3,35.2,18.5,24.4,75.9,10.5,31.8,42.3,24.7,8.2,5.2,13.8,19.7,110.5,10.1,82
2024,PHI,241.2,41.5,89.4,46.4,12.1,33.3,36.3,19.5,23.6,82.6,11.0,31.9,43.0,24.9,8.5,6.0,11.3,20.3,114.6,15.2,82
2024,PHX,241.2,42.5,86.1,49.3,12.4,32.6,38.2,18.9,23.4,80.8,10.1,33.9,44.1,27.0,7.4,6.0,14.1,18.0,116.2,15.3,82
2024,POR,242.4,39.4,89.7,43.9,11.5,33.2,34.5,16.2,20.5,79.1,12.6,30.1,42.7,23.1,7.6,4.3,14.4,20.2,106.4,-45.1,82
2024,SAC,242.1,43.3,90.9,47.7,14.4,39.3,36.6,15.5,20.9,74.5,10.8,33.2,44.0,28.3,7.6,4.2,12.5,19.9,116.6,8.7,82
2024,SAS,241.8,41.9,90.7,46.2,12.6,36.4,34.7,15.6,20.0,78.2,10.4,33.9,44.2,29.9,7.1,6.3,14.6,17.2,112.1,-32.4,82
2024,TOR,241.5,42.3,89.7,47.1,11.5,33.1,34.7,16.3,21.6,75.6,10.9,31.8,42.7,28.5,7.7,4.7,13.4,18.4,112.4,-32.2,82
2024,UTA,241.5,42.0,89.9,46.7,12.9,36.5,35.4,18.8,22.6,83.0,12.2,33.2,45.5,27.2,6.5,5.6,15.0,18.6,115.7,-24.5,82
2024,WAS,240.6,43.0,91.4,47.0,12.4,35.5,34.8,15.4,20.2,76.4,9.2,31.9,41.1,27.9,7.6,5.1,13.5,20.0,113.7,-46.5,82
