season_year,teamTricode,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,plusMinusPoints,gamesPlayed
2023,CHI,19905.2,3488,7116,49.0,854,2367,36.1,1446,1788,80.9,694,2779,3473,2006,644,371,1042,1551,9276,530,82
2023,CLE,19880.2,3408,6984,48.8,950,2589,36.7,1439,1844,78.0,795,2574,3369,2045,586,384,1020,1560,9205,2205,82
2023,DAL,19930.2,3283,6909,47.5,1246,3362,37.1,1554,2057,75.5,625,2556,3181,1880,514,304,957,1697,9366,30,82
2023,DEN,19755.2,3574,7088,50.4,969,2559,37.9,1378,1834,75.1,828,2699,3527,2368,618,368,1134,1525,9495,1365,82
2023,DET,19805.1,3244,7140,45.4,934,2659,35.1,1623,2106,77.1,916,2564,3480,1884,574,308,1189,1813,9045,-3370,82
2023,GSW,19830.4,3538,7393,47.9,1363,3540,38.5,1314,1655,79.4,864,2793,3657,2446,588,324,1287,1756,9753,740,82
2023,HOU,19755.1,3329,7287,45.7,856,2619,32.7,1567,2078,75.4,1100,2695,3795,1835,600,374,1267,1679,9081,-3220,82
2023,IND,19755.2,3444,7345,46.9,1112,3030,36.7,1535,1944,79.0,832,2575,3407,2213,631,478,1157,1741,9535,-1305,82
2023,LAC,19830.2,3370,7060,47.7,1041,2734,38.1,1533,1962,78.1,803,2742,3545,1959,580,364,1110,1598,9314,205,82
2023,LAL,19880.2,3516,7298,48.2,885,2558,34.6,1691,2182,77.5,818,2930,3748,2072,526,378,1104,1466,9608,235,82
2023,MEM,19780.2,3585,7551,47.5,985,2807,35.1,1432,1954,73.3,988,2835,3823,2135,680,473,1060,1643,9587,1615,82
2023,MIA,19805.1,3215,6991,46.0,980,2852,34.4,1567,1885,83.1,796,2533,3329,1955,655,243,1047,1516,8977,-130,82
2023,MIL,19830.3,3504,7411,47.3,1217,3306,36.8,1364,1837,74.3,914,3074,3988,2115,521,403,1137,1480,9589,1490,82
2023,MIN,19830.2,3515,7167,49.0,997,2731,36.5,1467,1942,75.5,749,2686,3435,2145,657,444,1212,1768,9494,-15,82
2023,NOP,19855.2,3447,7180,48.0,899,2468,36.4,1585,2000,79.2,866,2717,3583,2122,681,337,1149,1678,9378,775,82
2023,NYK,19955.3,3444,7328,47.0,1037,2930,35.4,1589,2087,76.1,1031,2790,3821,1880,527,340,988,1666,9514,1200,82
2023,OKC,19855.2,3533,7590,46.5,995,2797,35.6,1572,1944,80.9,934,2646,3580,2002,676,341,1022,1722,9633,445,82
2023,ORL,19780.1,3323,7074,47.0,883,2551,34.6,1607,2050,78.4,833,2713,3546,1906,603,382,1178,1652,9136,-1050,82
2023,PHI,19880.2,3347,6870,48.7,1035,2675,38.7,1719,2058,83.5,715,2641,3356,2063,635,389,1052,1675,9448,1770,82
2023,PHX,19780.1,3453,7388,46.7,1001,2674,37.4,1412,1781,79.3,971,2657,3628,2235,585,432,1055,1739,9319,850,82
2023,POR,19730.0,3317,7001,47.4,1056,2893,36.5,1609,2021,79.6,774,2551,3325,1981,553,376,1120,1643,9299,-1645,82
2023,SAC,19830.5,3573,7232,49.4,1128,3060,36.9,1624,2055,79.0,782,2699,3481,2237,574,275,1076,1616,9898,1085,82
2023,SAS,19855.1,3533,7593,46.5,911,2640,34.5,1292,1739,74.3,965,2619,3584,2232,572,322,1208,1630,9269,-4115,82
2023,TOR,19805.2,3434,7489,45.9,880,2626,33.5,1506,1922,78.4,1043,2485,3528,1961,772,424,920,1641,9254,605,82
2023,UTA,19805.2,3485,7365,47.3,1094,3099,35.3,1536,1955,78.6,968,2794,3762,2129,500,429,1222,1679,9600,-385,82
2023,WAS,19755.1,3456,7127,48.5,925,2601,35.6,1442,1838,78.5,774,2804,3578,2083,561,424,1094,1539,9279,-495,82
2024,ATL,19855.1,3529,7584,46.5,1125,3092,36.4,1520,1906,79.7,1024,2639,3663,2180,615,369,1046,1522,9703,-895,82
2024,BKN,19805.3,3334,7307,45.6,1089,3010,36.2,1293,1711,75.6,938,2675,3613,2102,556,424,1010,1516,9050,-1185,82
2024,BOS,19830.2,3601,7396,48.7,1351,3482,38.8,1334,1654,80.7,876,2923,3799,2207,557,538,924,1326,9887,4650,82
2024,CHA,19730.1,3281,7133,46.0,989,2788,35.5,1189,1512,78.6,765,2538,3303,2033,562,371,1065,1472,8740,-4200,82
2024,CHI,19980.2,3448,7339,47.0,941,2630,35.8,1369,1731,79.1,916,2677,3593,2048,638,394,957,1541,9206,-590,82
2024,CLE,19805.2,3425,7148,47.9,1108,3016,36.7,1278,1671,76.5,808,2742,3550,2299,605,380,1045,1436,9236,990,82
2024,DAL,19705.2,3535,7352,48.1,1197,3242,36.9,1397,1842,75.8,797,2724,3521,2106,563,406,991,1500,9664,905,82
2024,DEN,19705.3,3610,7279,49.6,958,2560,37.4,1240,1628,76.2,881,2762,3643,2415,585,456,967,1489,9418,2155,82
2024,DET,19755.3,3353,7236,46.3,906,2602,34.8,1398,1780,78.5,861,2692,3553,2088,531,384,1201,1688,9010,-3735,82
2024,GSW,19830.2,3582,7515,47.7,1211,3191,38.0,1282,1644,78.0,996,2834,3830,2402,572,377,1124,1598,9657,1070,82
2024,HOU,19855.5,3425,7459,45.9,1043,2964,35.2,1482,1916,77.3,940,2787,3727,2035,639,375,1001,1702,9375,460,82
2024,IND,19705.2,3855,7599,50.7,1082,2891,37.4,1318,1685,78.2,827,2578,3405,2522,631,481,1006,1756,10110,1250,82
2024,LAC,19705.2,3473,7108,48.9,1036,2719,38.1,1499,1817,82.5,822,2701,3523,2097,640,413,1003,1519,9481,1345,82
2024,LAL,19855.2,3580,7177,49.9,969,2572,37.7,1550,1983,78.2,676,2859,3535,2339,605,453,1100,1283,9679,245,82
2024,MEM,19780.1,3145,7229,43.5,1071,3097,34.6,1316,1722,76.4,896,2598,3494,2025,673,501,1166,1563,8677,-2870,82
2024,MIA,19755.3,3266,7022,46.5,1022,2765,37.0,1478,1806,81.8,766,2702,3468,2116,617,280,969,1415,9032,720,82
2024,MIL,19805.1,3538,7258,48.7,1163,3122,37.3,1517,1960,77.4,772,2850,3622,2176,558,413,1015,1574,9756,1075,82
2024,MIN,19805.3,3383,6974,48.5,1037,2681,38.7,1461,1881,77.7,770,2807,3577,2184,647,497,1095,1544,9264,2645,82
2024,NOP,19705.3,3484,7165,48.6,1023,2673,38.3,1445,1873,77.1,852,2753,3605,2210,684,378,1018,1508,9436,1810,82
